Final Parameters:
a = 1.015109
b = -1.116106

Training History:
Iteration	NLL	ECE
264	0.384019	0.040766
265	0.384007	0.040685
266	0.383996	0.040936
267	0.383985	0.041069
268	0.383973	0.040933
269	0.383962	0.040835
270	0.383952	0.040864
271	0.383941	0.041099
272	0.383931	0.040814
273	0.383921	0.040614
274	0.383911	0.040466
275	0.383901	0.040637
276	0.383891	0.040199
277	0.383882	0.039801
278	0.383873	0.039654
279	0.383864	0.039797
280	0.383855	0.039749
281	0.383846	0.040056
282	0.383837	0.039693
283	0.383829	0.040294
284	0.383821	0.040550
285	0.383813	0.040603
286	0.383805	0.040837
287	0.383797	0.040814
288	0.383789	0.041171
289	0.383782	0.041283
290	0.383775	0.041088
291	0.383767	0.040788
292	0.383760	0.040704
293	0.383753	0.040566
294	0.383747	0.040790
295	0.383740	0.040749
296	0.383733	0.040915
297	0.383727	0.040529
298	0.383721	0.040290
299	0.383714	0.040219
300	0.383708	0.040108
301	0.383702	0.039811
302	0.383697	0.039992
303	0.383691	0.039551
304	0.383685	0.039535
305	0.383680	0.039272
306	0.383674	0.039067
307	0.383669	0.038727
308	0.383664	0.039032
309	0.383659	0.039599
310	0.383654	0.039317
311	0.383649	0.039613
312	0.383644	0.039598
313	0.383638	0.039740
314	0.383633	0.039763
315	0.383628	0.039182
316	0.383624	0.039376
317	0.383619	0.039529
318	0.383615	0.039620
319	0.383611	0.039327
320	0.383607	0.039625
321	0.383603	0.039805
322	0.383599	0.039815
323	0.383595	0.039859
324	0.383591	0.039865
325	0.383587	0.040192
326	0.383584	0.040475
327	0.383580	0.040353
328	0.383577	0.040335
329	0.383573	0.040666
330	0.383570	0.040709
331	0.383566	0.040396
332	0.383563	0.040612
333	0.383560	0.040274
334	0.383557	0.040463
335	0.383554	0.040429
336	0.383551	0.040247
337	0.383548	0.040218
338	0.383545	0.040165
339	0.383542	0.040548
340	0.383540	0.040454
341	0.383537	0.040421
342	0.383534	0.040634
343	0.383531	0.040597
344	0.383529	0.040215
345	0.383526	0.040498
346	0.383524	0.040396
347	0.383522	0.040149
348	0.383519	0.040315
349	0.383517	0.040489
350	0.383515	0.040368
351	0.383512	0.040257
352	0.383510	0.040117
353	0.383508	0.040093
354	0.383506	0.039706
355	0.383504	0.039576
356	0.383502	0.039683
357	0.383500	0.039649
358	0.383498	0.039563
359	0.383496	0.039418
360	0.383494	0.039475
361	0.383492	0.039597
362	0.383490	0.039768
363	0.383489	0.039398
364	0.383487	0.039489
365	0.383485	0.039255
366	0.383484	0.039212
367	0.383482	0.039199
368	0.383480	0.039099
369	0.383479	0.038819
370	0.383477	0.038905
371	0.383476	0.039055
372	0.383474	0.038908
373	0.383473	0.038961
374	0.383471	0.039151
375	0.383470	0.039060
376	0.383469	0.039133
377	0.383467	0.039338
378	0.383466	0.039796
379	0.383465	0.039819
380	0.383463	0.039722
381	0.383462	0.039859
382	0.383461	0.039851
383	0.383460	0.039748
384	0.383458	0.039874
385	0.383457	0.039782
386	0.383456	0.039798
387	0.383455	0.039760
388	0.383454	0.039715
389	0.383453	0.039511
390	0.383452	0.039213
391	0.383451	0.039230
392	0.383450	0.039093
393	0.383449	0.039321
394	0.383448	0.039328
395	0.383447	0.039449
396	0.383446	0.039213
397	0.383445	0.039131
398	0.383444	0.039153
