iteration,overall_auc,user_auc,dcg@2,dcg@4,dcg@6,recall@2,recall@4,recall@6,nll,ece
10,0.7693641565153193,0.7066087700976941,0.7408466720313536,1.0277775714348292,1.2145203482009574,0.869198312236287,1.459915611814346,1.9620253164556962,0.44827699661254883,0.11242260561556461
20,0.7695924080226405,0.7084910342821735,0.7403903830319566,1.0315771764601296,1.2183199532262574,0.8818565400843882,1.459915611814346,1.9620253164556962,0.43811532855033875,0.10173382730512713
30,0.7691017595668757,0.7091245428270744,0.7488370476190574,1.0227185536373284,1.2255256208342258,0.8734177215189873,1.4556962025316456,2.0,0.43012335896492004,0.09231552409374365
40,0.7681412267749477,0.7077914759876787,0.7335166689120048,1.0146669775981811,1.2099591252358375,0.8565400843881856,1.4556962025316456,1.978902953586498,0.42377299070358276,0.08399031195334399
50,0.7688227513227514,0.7100346383574232,0.7457225307715591,1.0238856228932636,1.2189191577028482,0.8734177215189873,1.4683544303797469,1.9915611814345993,0.41868719458580017,0.07714529622749808
60,0.7684500738279808,0.7089050819667909,0.7339690349005519,1.0187537449206807,1.2179083122237022,0.8523206751054853,1.459915611814346,1.9957805907172996,0.41458988189697266,0.0711383168970595
70,0.7693413928879045,0.7095629113034178,0.7403982290536566,1.0215485377398328,1.2164527661353814,0.8649789029535865,1.4641350210970465,1.9873417721518987,0.41127386689186096,0.06676668891429295
80,0.769125138427464,0.7081621452270185,0.7403982290536566,1.0227807304580614,1.216779813955358,0.8649789029535865,1.4683544303797469,1.9915611814345993,0.4085806906223297,0.06153792627101584
90,0.7696588532053649,0.7092018140673204,0.7419554874774058,1.0246304928561845,1.2202618666793654,0.8649789029535865,1.4683544303797469,1.9957805907172996,0.40638765692710876,0.05826278132692708
100,0.7686792481850622,0.7076279235298223,0.7403982290536566,1.0191463291241087,1.216409993273174,0.8649789029535865,1.459915611814346,1.9915611814345993,0.4045981168746948,0.0557614353960378
110,0.7692266519010704,0.7064514409055549,0.7428602194544996,1.018266422165373,1.2193118926223505,0.8565400843881856,1.4430379746835442,1.9831223628691983,0.40313565731048584,0.055101864059648384
120,0.7688255198720315,0.7051222043310651,0.7424078534659527,1.0329988462821176,1.2175921070662175,0.8607594936708861,1.4852320675105486,1.9831223628691983,0.4019390642642975,0.05157494623573941
130,0.7689661006521471,0.7057588684170962,0.7381884441832522,1.0305344608456604,1.2183923022815286,0.8565400843881856,1.481012658227848,1.9873417721518987,0.4009591341018677,0.052646731346797634
140,0.769630244862803,0.7077485000348924,0.7424078534659527,1.0223259694339002,1.2231128270628058,0.8607594936708861,1.4556962025316456,1.9957805907172996,0.4001561999320984,0.04970672726360695
150,0.7688135228251507,0.704924005319575,0.7339690349005519,1.022973154203381,1.206322043903705,0.8523206751054853,1.4683544303797469,1.9620253164556962,0.3994980454444885,0.04888181363371652
160,0.7672628276116648,0.7054238029317142,0.7399458630651097,1.0132423611346326,1.2114111701819494,0.869198312236287,1.4514767932489452,1.9831223628691983,0.39895832538604736,0.048376720435836865
170,0.7664891718961485,0.7020316079255953,0.7310546785111619,1.0109727944791096,1.1996064743991934,0.8649789029535865,1.459915611814346,1.9662447257383966,0.39851418137550354,0.04751746710411799
180,0.7664181124646241,0.7015808587802259,0.7330643029234579,1.0071761360953695,1.2037126548168025,0.8607594936708861,1.4388185654008439,1.9662447257383966,0.3981497883796692,0.04804866520719982
190,0.766005291005291,0.7023678150260428,0.7383886046413606,1.0062335007099545,1.2095091005064127,0.869198312236287,1.4388185654008439,1.9873417721518987,0.3978523910045624,0.04856721165563122
200,0.7653719084533038,0.7023980575800196,0.7308545180530537,1.0077232406357963,1.208122179022594,0.8523206751054853,1.4388185654008439,1.978902953586498,0.3976087272167206,0.04772680919465505
