iteration,overall_auc,user_auc,dcg@2,dcg@4,dcg@6,recall@2,recall@4,recall@6,nll,ece
10,0.7652522456010828,0.7032643780270361,0.7319515644665558,1.0152845472780756,1.2054212111100078,0.8734177215189873,1.4345991561181435,1.9451476793248945,0.4371585547924042,0.10891648822092055
20,0.7646530084902178,0.7013256712228232,0.7361709737492562,1.0171639247657849,1.2026623304481365,0.8776371308016878,1.4388185654008439,1.9367088607594938,0.42944765090942383,0.1004359946509585
30,0.7651413498215823,0.7013625424622261,0.7388292015973575,1.0212589804070191,1.208131063587183,0.870295358649789,1.4261603375527425,1.9282700421940928,0.42279255390167236,0.09268150365200221
40,0.7659271563922727,0.703219423274803,0.7363750572182145,1.0064904963116217,1.1859769663465807,0.8718565400843882,1.4430379746835442,1.9240506329113924,0.41704970598220825,0.08759979340585682
50,0.7655646302448628,0.7039356506128657,0.7310507555003119,1.0062631157995412,1.1935231182218127,0.8734177215189873,1.4430379746835442,1.9451476793248945,0.4120975136756897,0.08276921076756628
60,0.7647878983634797,0.7041329670680937,0.7261827427818062,1.0100899408788135,1.1952004273190573,0.8523206751054853,1.459915611814346,1.9578059071729959,0.4078315794467926,0.07690175744081346
70,0.7650064599483204,0.7022590981451742,0.7246254843580572,1.00402076919799,1.1954018041136987,0.8523206751054853,1.4514767932489452,1.9662447257383966,0.40416181087493896,0.07321703547475346
80,0.765645379598868,0.7030890698612217,0.7204060750753566,1.0058379698649667,1.1880717948955497,0.8481012658227848,1.459915611814346,1.9493670886075949,0.4010094404220581,0.06759284088983877
90,0.766397502153316,0.7042054391342366,0.7181962902049522,1.0081400982516364,1.1890002457844073,0.8396624472573839,1.459915611814346,1.9451476793248945,0.3982900381088257,0.06512531699863132
100,0.7661847852836224,0.7047029008263187,0.7197535486287014,1.0120995652911096,1.194204083907657,0.8396624472573839,1.4641350210970465,1.9535864978902953,0.39597323536872864,0.061890686150665675
110,0.7665243939953242,0.7033500196474881,0.7193011826401545,1.0032705575578948,1.1852457697604064,0.8438818565400844,1.4556962025316456,1.9451476793248945,0.39394521713256836,0.05925045696824981
120,0.7672917435708133,0.7054450296538903,0.7193011826401545,1.0038555655066428,1.1883682129332902,0.8438818565400844,1.4556962025316456,1.9493670886075949,0.39227309823036194,0.05584456394850538
130,0.7673837209302325,0.7069671962472597,0.7272876352170085,1.005220400185072,1.2002539349946566,0.8565400843881856,1.4556962025316456,1.978902953586498,0.39085403084754944,0.05408764437723996
140,0.7683536360280547,0.7083671807564211,0.7292972596293044,1.0169010358809976,1.2096557482945183,0.8523206751054853,1.4725738396624473,1.9915611814345993,0.389650821685791,0.05247910279933171
150,0.7685194413682785,0.707643388023135,0.7288448936407574,1.0134614533279787,1.2111130367191518,0.8565400843881856,1.4725738396624473,2.0042194092827006,0.38863280415534973,0.050591101403585324
160,0.7686678663713548,0.7068312020843666,0.7337168293701132,1.0089548817480787,1.2019682069896713,0.869198312236287,1.4641350210970465,1.9831223628691983,0.38777342438697815,0.0497339486767581
170,0.7687316968130922,0.7082894631154125,0.7357264537824093,1.0157689233918232,1.2087822486334157,0.8649789029535865,1.4683544303797469,1.9873417721518987,0.3870493769645691,0.047769201911848316
180,0.7687403100775194,0.7085507992944701,0.7352740877938624,1.0171337580702524,1.2089027122280687,0.869198312236287,1.4767932489451476,1.9915611814345993,0.3864407241344452,0.04614499500618679
190,0.7693826135105205,0.707265375857148,0.732611936934911,1.0108372058773485,1.2146300313299503,0.8649789029535865,1.4641350210970465,2.0126582278481013,0.3859299421310425,0.046420501466704525
200,0.768818137073951,0.7086040673461559,0.7315070444997088,1.013659218750473,1.2109228828995384,0.8607594936708861,1.4683544303797469,2.0,0.3855021893978119,0.04539239829911152
210,0.7691898917189613,0.7084086755368401,0.7388409706299076,1.0152490389053686,1.2160358965342741,0.8649789029535865,1.459915611814346,2.0,0.38512763381004333,0.044569338624776356
220,0.7692986341823551,0.7095046318543153,0.7357264537824093,1.023268053213369,1.223537685186131,0.8649789029535865,1.481012658227848,2.021097046413502,0.38483163714408875,0.04254525316152687
230,0.7696308600959763,0.7105558075890355,0.7357264537824093,1.0269024545473218,1.2266548608639398,0.8649789029535865,1.489451476793249,2.029535864978903,0.38458529114723206,0.04163990203047308
240,0.7698401931832165,0.7122210712400585,0.7304021520645066,1.0287847786765916,1.227551426737505,0.8565400843881856,1.4936708860759493,2.029535864978903,0.3843803405761719,0.04192117255959644
